Trajectories
100
,,WB Sys Redo:WB_Door1,,,WB Sys Redo:WB_Door2,,,WB Sys Redo:WB_Door3,,,WB Sys Redo:WB_Door4,,,WB Sys Redo:WB_Door5,,,WB Sys Redo:WB_Door6,,,WB Sys Redo:WB_Door7,,,WB Sys Redo:WB_Door8,,,WB Sys Redo:WB_Door9,,,WB Sys Redo:WB_Door10,,,WB Sys Redo:WB_Frame1,,,WB Sys Redo:WB_Frame2,,,WB Sys Redo:WB_Frame3,,,WB Sys Redo:WB_Frame4,,,WB Sys Redo:WB_Frame5,,,WB Sys Redo:WB_Frame6,,,WB Sys Redo:WB_Frame7,,,WB Sys Redo:WB_Frame8,,,WB Sys Redo:WB_Frame9,,,WB Sys Redo:WB_Frame10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1099.767334,690.284119,930.558838,1103.337891,707.734863,894.928467,1107.148071,743.092346,877.263977,1217.848022,751.986572,1217.420532,1220.119751,767.098694,1648.561279,1166.620850,765.448608,1685.919922,1154.718018,176.989670,1653.924683,1103.763916,182.950882,1688.698486,1100.280273,172.588409,1007.851257,1153.935181,175.942337,1189.970825,1133.788940,1042.189575,1770.648071,1134.260742,917.602478,600.100037,1150.790649,76.990601,322.087280,1149.018066,79.162880,435.287292,1063.656372,17.767292,457.262451,1152.624512,86.404961,1066.541382,1154.174805,86.900856,1176.339111,1050.612183,36.657475,1727.983643,1152.847046,90.883804,1812.485352,1151.055786,92.674812,1924.080200
2,0,1099.391602,690.099915,930.941711,1103.320923,707.795166,894.896179,1107.135376,743.071838,877.189270,1218.059570,751.915222,1217.476685,1220.120728,767.073730,1648.543335,1166.627930,765.435181,1685.911987,1154.712402,176.970093,1653.904419,1103.857544,182.971985,1688.639282,1100.113647,172.504333,1007.850281,1153.958008,175.975571,1189.958130,1133.816162,1042.223877,1770.664429,1134.343262,917.032410,599.957092,1150.822754,76.940529,322.082489,1148.517456,79.680244,434.886871,1063.657959,17.771063,457.238739,1152.601929,86.325729,1066.459595,1154.201660,86.859497,1176.304321,1050.570923,36.672237,1727.936157,1152.850342,90.894852,1812.465820,1151.109863,92.714828,1924.019287
3,0,1099.841797,690.101379,930.710693,1103.345947,707.749512,894.912720,1107.190796,743.085266,877.276672,1218.037964,751.917480,1217.465088,1220.110840,767.065308,1648.538940,1166.515503,765.469788,1685.914307,1154.702637,176.962570,1653.905762,1103.847290,182.979721,1688.629150,1100.173218,172.562210,1007.816650,1153.936768,175.950500,1189.944336,1133.836304,1042.208374,1770.599487,1134.268188,917.619141,600.081970,1150.806274,76.835434,322.145569,1148.425171,79.775513,434.649780,1063.648560,17.710857,457.289032,1152.563965,86.441483,1066.515137,1154.189087,86.838730,1176.308350,1050.612061,36.660320,1727.928711,1152.838013,90.868874,1812.455566,1151.028809,92.665398,1924.106201
4,0,1099.620972,689.976257,930.793884,1103.306885,707.754089,894.884644,1107.189819,743.105835,877.279541,1217.823486,751.957275,1217.353149,1220.154053,767.090027,1648.547241,1166.538818,765.432556,1685.880981,1154.712646,176.974106,1653.881226,1103.790527,182.981491,1688.617432,1099.924438,172.473282,1007.962219,1153.968384,175.958267,1189.942383,1133.804810,1042.212891,1770.659668,1134.269653,917.583435,600.104919,1150.838013,76.917099,322.075439,1148.529175,79.540817,434.709351,1063.687988,17.817419,457.218140,1152.529419,86.239571,1066.237671,1154.188110,86.855110,1176.311646,1050.591187,36.699997,1727.919556,1152.838867,90.888657,1812.446411,1151.069458,92.720222,1924.089111
5,0,1099.454468,690.210327,930.911926,1103.462280,707.658691,894.867798,1107.191650,743.069214,877.211609,1217.807861,751.952026,1217.375854,1220.333374,767.279968,1648.645874,1166.625488,765.445007,1685.923584,1154.697754,176.961380,1653.917969,1103.747192,182.996780,1688.622803,1099.965576,172.472427,1007.946960,1153.936890,175.955414,1189.946289,1133.829590,1042.275391,1770.672852,1134.279175,917.565308,600.067871,1150.748901,76.904289,322.070801,1148.489136,79.700638,434.583038,1063.658569,17.694502,457.299896,1152.576538,86.288956,1066.437622,1154.165283,86.863403,1176.317627,1050.625854,36.522083,1727.933105,1152.822021,90.908890,1812.473999,1151.094971,92.700417,1924.075195
6,0,1099.588257,690.246582,930.850281,1103.211914,707.812866,894.906128,1107.137085,743.111084,877.254761,1217.849976,751.956970,1217.386475,1220.129028,767.125122,1648.554688,1166.668945,765.438904,1685.887329,1154.721558,176.958527,1653.890625,1104.149658,182.964325,1688.840942,1099.989868,172.495575,1007.960205,1153.950195,175.930481,1189.955566,1133.845581,1042.318359,1770.668823,1134.270508,917.563110,600.076721,1150.781616,76.938698,322.023468,1148.304565,79.825485,434.478119,1063.655762,17.755913,457.238190,1152.625732,86.375069,1066.516968,1154.177002,86.895439,1176.293457,1050.612061,36.526096,1727.942749,1152.860352,90.896896,1812.455566,1151.049438,92.708130,1924.168701
7,0,1099.168579,690.266724,930.959045,1103.477295,707.638977,894.794067,1107.148560,743.073792,877.240967,1217.854248,751.972351,1217.398682,1220.375854,767.300842,1648.681396,1166.608032,765.452454,1685.933960,1154.695312,176.961777,1653.917969,1103.757812,182.965088,1688.578491,1099.933472,172.434311,1007.946838,1153.948608,175.962402,1189.946045,1133.845215,1042.334473,1770.693481,1134.274170,917.534180,600.059998,1150.803589,76.901733,322.132385,1148.879272,79.180244,435.270325,1063.636597,17.782846,457.271759,1152.601929,86.393738,1066.534302,1154.194824,86.869415,1176.329712,1050.597168,36.575523,1727.926025,1152.865234,90.916168,1812.491943,1151.144287,92.721771,1924.161133
8,0,1100.140625,690.103882,930.353333,1103.360474,707.777832,894.888123,1107.200562,743.090942,877.248840,1217.861450,751.978882,1217.426025,1220.138184,767.114380,1648.574463,1166.602539,765.442871,1685.965210,1154.681519,176.951523,1653.931763,1103.864990,182.972382,1688.646362,1100.050171,172.492508,1007.901672,1153.936768,175.968231,1189.972778,1133.896484,1042.997437,1770.992554,1134.279663,917.528381,600.062012,1150.293579,77.379677,321.545258,1147.934814,79.624359,434.101685,1063.656860,17.775635,457.318481,1152.562988,86.371826,1066.448120,1154.214355,86.863983,1176.347778,1050.554932,36.524960,1728.014648,1152.854370,90.883011,1812.495239,1151.127563,92.741707,1924.176270
9,0,1099.540527,690.283203,930.802429,1103.299316,707.751282,894.862122,1107.097412,743.078369,877.230042,1217.884399,751.990967,1217.432129,1220.186523,767.111755,1648.611206,1166.541504,765.471313,1685.903442,1154.702148,176.986176,1653.939087,1103.840576,183.001038,1688.644409,1099.917114,172.450714,1007.988220,1153.958862,175.976395,1189.983521,1133.851074,1042.496094,1770.762207,1134.342407,917.013611,599.947327,1150.850952,76.888702,322.133698,1148.531860,79.592957,434.746338,1063.620728,17.851484,457.311371,1152.548218,86.536888,1066.633667,1154.203857,86.921616,1176.335327,1050.549805,36.545086,1727.988770,1152.851196,90.916100,1812.468506,1151.063110,92.702293,1924.135864
