Trajectories
100
,,WB Sys Redo:WB_Door1,,,WB Sys Redo:WB_Door2,,,WB Sys Redo:WB_Door3,,,WB Sys Redo:WB_Door4,,,WB Sys Redo:WB_Door5,,,WB Sys Redo:WB_Door6,,,WB Sys Redo:WB_Door7,,,WB Sys Redo:WB_Door8,,,WB Sys Redo:WB_Door9,,,WB Sys Redo:WB_Door10,,,WB Sys Redo:WB_Frame1,,,WB Sys Redo:WB_Frame2,,,WB Sys Redo:WB_Frame3,,,WB Sys Redo:WB_Frame4,,,WB Sys Redo:WB_Frame5,,,WB Sys Redo:WB_Frame6,,,WB Sys Redo:WB_Frame7,,,WB Sys Redo:WB_Frame8,,,WB Sys Redo:WB_Frame9,,,WB Sys Redo:WB_Frame10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1096.315186,678.144348,937.679321,,,,,,,1213.705200,735.462402,1226.004028,1213.744873,745.004822,1657.284912,1160.100952,743.005371,1694.421021,1146.718872,155.186462,1654.768433,1095.470093,160.883682,1689.524658,1095.454590,158.957092,1008.358948,1148.515503,159.797211,1190.863281,1113.011230,1016.038391,1772.921997,1129.080933,909.665710,602.988037,1147.825562,72.460007,320.179626,1146.083496,73.248070,433.962799,1061.535522,10.952374,455.628235,1147.034424,71.615646,1065.830566,1148.013184,70.683846,1176.046387,1042.242920,12.071910,1726.522827,,,,1141.750732,67.348122,1924.129150
2,0,,,,,,,,,,1213.713013,735.490234,1226.019409,1213.770386,744.994873,1657.263672,1160.182739,742.979675,1694.422485,1146.680908,155.176437,1654.755005,1095.383667,161.046021,1689.574707,1095.785767,159.079041,1008.479248,1148.536255,159.774918,1190.878784,1112.971558,1016.052246,1772.985596,1129.096924,909.683838,603.060547,1147.890503,72.450661,320.193634,1145.876343,73.331100,433.822479,1061.614868,11.021904,455.528625,1147.511108,71.722977,1066.288940,1148.016724,70.679153,1176.025757,1042.295410,12.164599,1726.450195,,,,1141.707642,67.183098,1924.072998
3,0,1096.338501,678.163879,937.618042,,,,,,,1213.697144,735.477356,1226.043701,1213.766724,745.023926,1657.294922,1160.135864,742.998901,1694.386475,1146.676147,155.164978,1654.755249,1095.551392,160.865234,1689.591431,1095.462646,158.966217,1008.375305,1148.545776,159.815247,1190.886719,1112.931519,1016.266724,1773.026855,1129.078613,909.670105,603.037720,1147.814453,72.499962,320.188965,1146.080688,73.338745,433.983795,1061.587646,11.044635,455.556213,1147.113770,71.585052,1065.899780,1148.015869,70.727158,1176.057251,1042.300293,12.115362,1726.422241,,,,1141.693481,67.314659,1924.119019
4,0,1096.293701,678.137634,937.700623,,,,,,,1213.671997,735.453979,1225.997925,1213.762695,744.996643,1657.319336,1159.947632,743.015930,1694.292358,1146.651001,155.136353,1654.779419,1095.416992,160.970154,1689.599121,1095.473877,158.978851,1008.390076,1148.532471,159.772202,1190.875854,1113.028076,1015.992737,1772.932617,1129.094971,909.668701,603.008728,1149.173584,72.066528,321.315521,1146.045776,73.212372,433.902618,1061.587769,10.952978,455.603210,1147.067627,71.594589,1065.902710,1147.990845,70.688309,1176.039917,1042.321411,12.132393,1726.476807,1135.202881,66.245262,1805.719971,1141.737427,67.268845,1924.173096
5,0,1096.368286,678.153320,937.718201,,,,,,,1213.705688,735.449341,1226.016235,1213.783691,744.975647,1657.360962,1160.004639,743.022827,1694.236328,1146.644165,155.142639,1654.787842,1095.486084,160.849045,1689.622925,1095.542725,158.928314,1008.404602,1148.551270,159.797226,1190.901123,1113.002930,1016.124390,1773.011353,1129.080688,909.657776,603.056885,1147.930542,72.461372,320.230957,1146.542847,73.015541,434.299591,1061.619019,11.080638,455.454498,1147.272583,71.626640,1066.086914,1148.006714,70.689316,1176.078491,1042.319092,12.104695,1726.453247,1135.452148,66.436539,1805.309814,1141.849976,67.321472,1924.101074
6,0,1097.019165,677.941467,938.267151,,,,,,,1213.684937,735.456299,1225.996582,1213.771973,745.017944,1657.357300,1160.115112,742.981628,1694.266724,1146.578613,155.097870,1654.796997,1095.489502,160.876297,1689.613647,1095.447632,158.944183,1008.406372,1148.511353,159.791183,1190.886108,1113.009155,1016.158203,1772.978394,1129.115479,909.658203,603.025818,1149.016602,72.097221,321.210815,1146.144043,73.220276,434.022125,1061.550293,10.964539,455.593414,1147.125854,71.565491,1065.934570,1147.996826,70.705803,1176.052856,1042.275146,12.138282,1726.569092,1127.988770,53.117653,1807.832764,1141.726196,67.280861,1924.201660
7,0,1097.154663,677.919861,938.150146,,,,,,,1213.704834,735.451050,1226.012939,1213.776367,745.000061,1657.399048,1160.082642,742.994080,1694.282715,1146.574097,155.098404,1654.824463,1095.504272,161.009766,1689.585449,1095.471436,158.975769,1008.415710,1148.531128,159.805496,1190.905518,1112.937134,1016.259216,1773.011963,1129.092041,909.647827,603.051819,1148.037964,72.459984,320.371094,1146.124756,73.252365,433.991241,1061.659302,11.050256,455.588959,1147.265625,71.602448,1066.109375,1148.046387,70.700920,1176.109863,1042.363403,12.077750,1726.544312,,,,1141.760986,67.204987,1923.981689
8,0,1096.406250,678.125061,937.767944,,,,,,,1213.975342,735.452209,1226.156860,1213.771484,745.014709,1657.375610,1160.041992,742.981384,1694.296021,1146.528931,155.075775,1654.802979,1095.521362,160.870163,1689.593628,1095.484497,158.959747,1008.400208,1148.504272,159.761032,1190.879517,1112.928711,1016.277222,1773.028564,1129.093750,909.632141,603.011475,1148.053833,72.436951,320.353424,1146.018188,73.213753,433.845612,1061.541992,11.015520,455.581696,1147.071167,71.578949,1065.912354,1148.023315,70.702477,1176.052734,1042.348389,12.122324,1726.521851,1135.531494,66.239677,1804.736084,1141.732788,67.254845,1924.270630
9,0,1097.164429,677.948547,938.177979,,,,,,,1213.717896,735.453186,1226.009155,1213.767456,744.976135,1657.348389,1160.135986,742.985107,1694.305664,1146.483032,155.044388,1654.797485,1095.485229,160.976379,1689.554565,1095.505493,158.971771,1008.406372,1148.527344,159.771896,1190.878540,1112.930176,1016.190063,1773.020386,1129.101562,909.670471,603.033447,1148.082642,72.391388,320.363586,1146.105469,73.138847,433.892944,1061.648560,11.063298,455.545197,1147.062866,71.553665,1065.882568,1148.018921,70.617722,1176.055908,1042.361450,12.141885,1726.450073,1126.375732,49.367229,1808.383667,1141.600464,67.321152,1924.227905
