Trajectories
100
,,WBObject:WB_ID1,,,WBObject:WB_ID2,,,WBObject:WB_ID3,,,WBObject:WB_ID4,,,WBObject:WB_ID5,,,WBObject:WB_ID6,,,WBObject:WB_ID7,,,WBObject:WB_ID8,,,WBObject:WB_ID9,,,WBObject:WB_ID10,,,WBObject:WB_ID11,,,WBObject:WB_ID12,,,WBObject:WB_ID13,,,WBObject:WB_ID14,,,WBObject:WB_ID15,,,WBObject:WB_ID16,,,WBObject:WB_ID17,,,WBObject:WB_ID18,,,WBObject:WB_ID19,,,WBObject:WB_ID20,,,WBObject:WB_ID21,,,WBObject:WB_ID22,,,WBObject:WB_ID23,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,982.501099,-551.120544,475.291046,1027.687744,-349.760925,456.539246,1074.188843,-270.440399,366.176331,1096.886597,-263.757629,396.629364,1096.552734,-255.966568,435.977600,1053.059204,-58.290215,382.039612,,,,1115.730835,791.297852,181.821991,1122.306274,932.176086,196.556244,869.938416,981.672485,196.788330,824.772583,846.127014,184.169098,669.609375,383.377686,13.492908,553.413757,13.980746,397.488068,482.332367,-126.938629,500.698639,516.763672,-135.069611,520.728882,554.595398,-148.711517,515.541870,480.154144,-240.846130,478.049164,423.109955,-439.872467,497.336792,653.765930,85.204559,590.894775,641.352112,760.556580,667.904480,991.011719,1005.357239,698.791321,1257.809814,642.360535,664.364746,975.706360,26.174232,587.800110
2,0,982.468628,-551.135986,475.255768,1027.685913,-349.784454,456.521271,1074.200317,-270.501617,366.186066,1096.902710,-263.806274,396.567719,1096.541260,-255.944199,435.923798,1053.084595,-58.286739,382.010803,,,,1115.689697,791.266968,181.758621,1122.344482,932.161255,196.507782,869.904724,981.681274,196.799500,825.069275,846.014954,183.951370,669.614197,383.374268,13.476339,553.381226,13.973216,397.489899,482.243286,-126.952766,500.643555,516.803772,-135.062347,520.681274,554.557861,-148.688202,515.520935,480.123260,-240.841339,478.021637,423.095062,-439.889404,497.305237,653.731750,85.377510,591.066345,641.356201,760.604919,667.938843,990.987671,1005.353943,698.774414,1257.792114,642.352234,664.341125,975.698792,26.193617,587.747192
3,0,982.494385,-551.119751,475.273041,1027.688843,-349.773468,456.554779,1074.224854,-270.424530,366.186066,1096.857666,-263.801147,396.519958,1096.552124,-255.952209,435.916595,1053.224976,-58.320614,381.979523,,,,1115.699829,791.284485,181.786667,1122.313599,932.165405,196.496445,869.934631,981.675537,196.775406,824.737366,846.118286,184.212189,669.618469,383.389557,13.482487,553.350403,13.989147,397.495239,482.223206,-126.951355,500.673767,516.769287,-135.102707,520.678711,554.565247,-148.685806,515.513855,480.146027,-240.832092,478.022491,423.133270,-439.867889,497.325806,653.758301,85.395615,591.038757,641.390991,760.574402,667.870667,991.013733,1005.373596,698.792480,1257.805420,642.342346,664.365051,975.729553,26.179558,587.758728
4,0,982.492676,-551.140320,475.287628,1027.694214,-349.776642,456.527252,1074.182983,-270.429932,366.154694,1096.875610,-263.762604,396.624664,1096.562744,-255.971313,435.967133,1053.114624,-58.308319,382.052460,,,,1115.647461,791.265442,181.796844,1122.293945,932.163452,196.533066,869.902466,981.653687,196.796555,824.902710,846.109436,184.124603,669.616272,383.370087,13.482891,553.241394,13.980865,397.494720,483.687805,-126.710922,499.430969,516.799072,-135.093460,520.650146,554.551697,-148.708923,515.510864,480.141266,-240.845245,478.040985,423.117981,-439.905884,497.326263,653.718323,85.403847,591.050476,641.408569,760.582214,667.856506,990.991699,1005.341797,698.781494,1257.795410,642.359619,664.361145,975.727539,26.161692,587.785889
5,0,982.521545,-551.112793,475.286591,1027.700073,-349.780304,456.504333,1074.302856,-270.482178,366.194763,1096.950439,-263.725189,396.517517,1096.595703,-255.954300,435.956055,1053.055176,-58.302128,381.980194,,,,1115.726562,791.270142,181.742905,1122.341187,932.167969,196.508057,870.239624,981.513428,196.482254,824.532959,846.239441,184.310333,669.614197,383.395172,13.470777,553.383118,13.977157,397.478790,482.299164,-126.894485,500.720428,516.837463,-135.046677,520.578918,554.539307,-148.685394,515.515869,480.163330,-240.836319,478.006226,423.116608,-439.853699,497.335449,653.750488,85.378685,591.030151,641.343994,760.594849,668.012390,991.015625,1005.362610,698.790894,1257.840454,642.351379,664.369324,975.734741,26.204405,587.779358
6,0,982.508606,-551.143555,475.333466,1027.710571,-349.778748,456.547455,1074.304199,-270.521576,366.275970,1096.958740,-263.777191,396.647308,1096.587280,-255.957718,435.981293,1053.292114,-58.283115,382.026398,,,,1115.702026,791.278381,181.749329,1122.313110,932.187195,196.523865,869.941772,981.637573,196.771729,824.867798,846.151001,184.048035,669.631226,383.414551,13.503100,553.316467,13.990327,397.550690,482.312897,-126.850739,500.645172,516.756104,-135.072235,520.741028,554.585266,-148.702042,515.543640,480.160278,-240.829575,478.031921,423.160309,-439.930939,497.214844,653.850891,85.283180,591.010925,641.365234,760.556091,667.847656,991.008057,1005.390381,698.793579,1257.824463,642.354980,664.389038,975.700317,26.183931,587.813599
7,0,982.394775,-551.266907,475.499969,1027.699097,-349.795807,456.520203,1074.319214,-270.522675,366.235596,1096.983887,-263.734711,396.623993,1096.548096,-255.979599,435.948090,1053.320190,-58.252262,382.070587,,,,1115.674805,791.278076,181.720245,1122.276489,932.142883,196.489685,869.895081,981.633179,196.766937,824.942810,846.014282,184.027374,669.605774,383.395447,13.488494,553.338684,13.920049,397.510010,482.295532,-126.893280,500.621246,516.789490,-135.091797,520.642517,554.574219,-148.708206,515.524780,480.160278,-240.850159,478.011566,423.119232,-439.882477,497.304718,653.821716,85.235344,590.992554,641.312561,760.615295,667.885681,990.997986,1005.339355,698.781128,1257.833862,642.363342,664.369507,975.645142,26.050961,587.662537
8,0,982.451172,-551.231689,475.487488,1027.699097,-349.770294,456.526001,1074.282471,-270.490326,366.170349,1096.936157,-263.777802,396.565521,1096.590332,-255.996353,435.973053,1053.349121,-58.215378,382.100067,,,,1115.742554,791.285339,181.761337,1122.324829,932.165833,196.528091,870.311523,981.492371,196.545181,824.418396,846.321167,184.465027,669.623840,383.404510,13.544906,553.313721,13.943375,397.599243,482.426727,-126.907928,500.609528,516.816467,-135.087280,520.660400,554.575500,-148.696167,515.543396,480.158203,-240.817078,478.058044,423.151947,-439.869080,497.276642,653.727661,85.387352,591.100708,641.389893,760.557861,667.893799,991.026184,1005.364563,698.811768,1257.842285,642.340393,664.349060,975.704468,26.171793,587.786377
9,0,982.454834,-551.185608,475.335388,1027.676025,-349.787842,456.543915,1074.231567,-270.513550,366.158417,1096.808350,-263.759125,396.524628,1096.513550,-256.001312,435.969147,1053.702148,-57.840065,382.791382,,,,1115.703247,791.268127,181.781494,1122.284180,932.147217,196.550461,869.901794,981.604675,196.784531,824.698608,846.148743,184.144379,669.594604,383.371185,13.509591,553.325134,13.851415,397.546753,482.211945,-126.916618,500.654053,516.749084,-135.094635,520.681519,554.537964,-148.706116,515.518677,480.123047,-240.851166,478.059906,423.101532,-439.895142,497.293976,653.701172,85.369011,591.075439,641.311707,760.581421,667.966919,990.964050,1005.340210,698.771606,1257.823486,642.329529,664.358337,975.669067,26.155590,587.751831
